Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Provincia,Región,Latitud (Decimal),Longitud (decimal),Latitud (Sexagesimal),Longitud (Sexagesimal),rango_baths,rango_dormitorios
409285000,11500,509695,quintanormal,Hoevel4548y4558,7,4,384.0,732.0,3.0,11700213,Santiago,Metropolitana de Santiago,-33.4269,-70.6989, -33°25' 37'' , -70°41' 56'' ,1-5,6-10
105000000,2950,130760,pedroaguirrecerda,Rucalhue,2,1,112.0,145.0,1.0,10894299,Santiago,Metropolitana de Santiago,-33.4661,-70.6336, -33°27' 58'' , -70°38' 1'' ,1-5,1-5
128124000,3600,159557,estacioncentral,AvenidaLasParcelas,3,1,59.0,243.0,2.0,10257635,Santiago,Metropolitana de Santiago,-33.4589,-70.6989, -33°27' 32'' , -70°41' 56'' ,1-5,1-5
75000000,2107,93400,colina,PasajeGonzaloRojas,3,1,103.0,73.0,1.0,9232092,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
53000000,1489,66002,colina,HernánDíazArrieta2820,2,1,57.0,67.0,1.0,7085397,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
94000000,2641,117061,estacioncentral,Avenida5deAbril,2,1,72.0,131.0,0.0,7586371,Santiago,Metropolitana de Santiago,-33.4589,-70.6989, -33°27' 32'' , -70°41' 56'' ,1-5,1-5
75000000,2107,93400,colina,GabrielaMistral/PabloNeruda,3,1,70.0,80.0,2.0,11688480,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
105000000,2950,130760,laflorida,SanCristóbalTres,2,1,50.0,120.0,1.0,12229303,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
76000000,2135,94645,maipu,PasajeJosédeMoraleda,3,1,72.0,72.0,1.0,12223374,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
76000000,2135,94645,maipu,Matías,3,1,46.0,90.0,1.0,12221068,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
90000000,2529,112080,maipu,LasTinajas&QuintaVergara,3,1,100.0,134.0,3.0,12188657,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
75000000,2107,93400,sanbernardo,ValledelAconcagua,3,2,50.0,88.0,1.0,12187463,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
153037000,4300,190582,maipu,Merlin,3,2,98.0,130.0,2.0,12187364,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
132000000,3709,164384,quintanormal,SalvadorGutiérrez&Jujuy,4,1,69.0,200.0,2.0,8493024,Santiago,Metropolitana de Santiago,-33.4269,-70.6989, -33°25' 37'' , -70°41' 56'' ,1-5,1-5
199000000,5591,247821,santiago,Cuevas,7,3,162.0,185.0,0.0,12155606,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,6-10
79000000,2220,98381,puentealto,PasajeLagoBertrand,2,1,,,2.0,12149041,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
373695000,10500,465374,laflorida,JoséMiguelCarrera,7,3,173.0,850.0,3.0,7850911,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,6-10
480000000,13487,597758,laflorida,Altomacul,5,6,240.0,600.0,2.0,6474890,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,6-10,1-5
142000000,3990,176837,santiago,Sandaniel,3,2,100.0,163.0,2.0,12065162,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,1-5
295397000,8300,367867,laflorida,CaminodelaNaturaleza,3,3,105.0,280.0,2.0,10765504,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
391490000,11000,487534,laflorida,Cam.LasCumbres6790,5,3,150.0,400.0,2.0,10105612,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
1210060000,34000,1506924,lascondes,Laforesta,5,5,360.0,1150.0,4.0,10080545,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
160155000,4500,199446,lampa,AvenidaLaMontañaSur4149,3,3,80.0,156.0,2.0,8677005,Chacabuco,Metropolitana de Santiago,-33.2858,-70.8778, -33°17' 9'' , -70°52' 40'' ,1-5,1-5
129903500,3650,161773,lampa,AvenidaLaHacienda,3,2,68.0,221.0,1.0,7850612,Chacabuco,Metropolitana de Santiago,-33.2858,-70.8778, -33°17' 9'' , -70°52' 40'' ,1-5,1-5
75000000,2107,93400,quilicura,Riocachapoal,2,2,70.0,78.0,0.0,11426067,Santiago,Metropolitana de Santiago,-33.3608,-70.7289, -33°21' 39'' , -70°43' 44'' ,1-5,1-5
50000000,1405,62267,puentealto,CerroParedones,3,1,31.0,73.0,0.0,11988681,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
175000000,4917,217933,santiago,RíoTrancura,3,3,94.0,191.0,4.0,11840169,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,1-5
150000000,4215,186800,quintanormal,NuevaImperial,2,1,96.0,247.0,1.0,11933894,Santiago,Metropolitana de Santiago,-33.4269,-70.6989, -33°25' 37'' , -70°41' 56'' ,1-5,1-5
160000000,4496,199253,sanbernardo,AltoJahuel,3,2,91.0,268.0,2.0,11915330,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
75000000,2107,93400,puentealto,TocornalExPedroDuarte,3,1,,87.0,1.0,6775287,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
85000000,2388,105853,puentealto,Maullín,5,2,,105.0,1.0,6776151,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
75000000,2107,93400,lapintana,VioletaParra,3,1,62.0,88.0,1.0,9449460,Santiago,Metropolitana de Santiago,-33.5828,-70.6339, -33°34' 58'' , -70°38' 2'' ,1-5,1-5
75000000,2107,93400,lapintana,PoetaRamóndelValle,3,2,90.0,80.0,1.0,9630711,Santiago,Metropolitana de Santiago,-33.5828,-70.6339, -33°34' 58'' , -70°38' 2'' ,1-5,1-5
290000000,8148,361146,puentealto,Noruega/Eyzaguirre,5,3,,286.0,2.0,8298437,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
160000000,4496,199253,puentealto,Colombia,5,2,165.0,315.0,1.0,9881681,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
302728540,8506,376997,puentealto,LaParroquia,2,1,83.0,1000.0,4.0,10930652,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
225000000,6322,280199,santiago,FranciscoPizarro2041,7,2,,572.0,0.0,11903993,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,6-10
140000000,3934,174346,renca,Montevideo,5,3,,120.0,2.0,11903216,Santiago,Metropolitana de Santiago,-33.3978,-70.7228, -33°23' 52'' , -70°43' 22'' ,1-5,1-5
266925000,7500,332410,quintanormal,TadeoVargas,4,3,198.0,354.0,1.0,11588945,Santiago,Metropolitana de Santiago,-33.4269,-70.6989, -33°25' 37'' , -70°41' 56'' ,1-5,1-5
180000000,5058,224159,santiago,Vichuquén,3,2,79.0,114.0,0.0,11791851,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,1-5
120000000,3372,149440,santiago,LebuOriente,4,1,131.0,138.0,2.0,11841421,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,1-5
239000000,6715,297634,santiago,Avenida10deJulioHuamachuco,5,4,250.0,190.0,1.0,7756750,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,1-5
444519100,12490,553573,huechuraba,SantaMartadeHuechuraba,5,5,156.0,530.0,4.0,11831081,Santiago,Metropolitana de Santiago,-33.3678,-70.6339, -33°22' 4'' , -70°38' 2'' ,1-5,1-5
125000000,3512,155666,maipu,DaríoPobleteNúñez,3,2,80.0,100.0,2.0,11607101,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
65129700,1830,81108,sanbernardo,Sta.Ines3481,3,1,52.0,75.0,1.0,11824596,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
115000000,3231,143213,maipu,Aracari389,3,1,76.0,120.0,2.0,11786572,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
261586500,7350,325762,sanmiguel,BartoloSoto,3,3,113.0,130.0,1.0,7971519,Santiago,Metropolitana de Santiago,-33.4858,-70.6494,"-33°29' 9""","-70°38' 58""",1-5,1-5
266569100,7490,331967,nunoa,Av.JoséPedroAlessandri1625,4,3,109.0,119.0,1.0,7971620,Santiago,Metropolitana de Santiago,-33.4539,-70.6039, -33°27' 14'' , -70°36' 14'' ,1-5,1-5
160000000,4496,199253,laflorida,LosGeranios70,3,1,84.0,200.0,2.0,11013162,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
160155000,4500,199446,lampa,Lamontañasur,3,2,88.0,158.0,3.0,11788723,Chacabuco,Metropolitana de Santiago,-33.2858,-70.8778, -33°17' 9'' , -70°52' 40'' ,1-5,1-5
259807000,7300,323545,sanmiguel,QuintaAvenida,5,2,200.0,300.0,3.0,11750010,Santiago,Metropolitana de Santiago,-33.4858,-70.6494,"-33°29' 9""","-70°38' 58""",1-5,1-5
115000000,3231,143213,lagranja,VillalosPensamientos,3,2,61.0,163.0,2.0,9694714,Santiago,Metropolitana de Santiago,-33.5833,-70.5833,"-33°31' 60""","-70°37' 30""",1-5,1-5
282940500,7950,352354,pudahuel,AvenidaLasFlores,3,3,145.0,454.0,2.0,6059114,Santiago,Metropolitana de Santiago,-33.4333,-70.7167,"-33°26' 0""","-70°43' 0""",1-5,1-5
140580500,3950,175069,maipu,PasajeSantaNidia,4,3,160.0,162.0,2.0,10500128,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
121000000,3400,150685,maipu,Ptovelero,3,2,100.0,136.0,1.0,10733354,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
139000000,3906,173101,maipu,Lastorres,5,2,127.0,112.0,2.0,10571335,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
